Coğrafi İşaretin Adı;Ürün Grubu;İl
Bitlis Büryan Kebabı;Yemekler ve çorbalar;Bitlis
Bitlis İçli Köftesi;Yemekler ve çorbalar;Bitlis
Bitlis Katıklı Dolma;Yemekler ve çorbalar;Bitlis
Mudurnu Kaşık Sapı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bolu
Göynük Bombay Fasulye;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bolu
Göynük Dik Börek/Göynük Oklava Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bolu
Bolu Fındık Şekeri;Çikolata, şekerleme ve türevi ürünler;Bolu
Göynük Kabaklı Yufka Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bolu
Bolu Kıbrıscık Pirinci;Diğer ürünler;Bolu
Mengen Peyniri;Peynirler;Bolu
Bolu Dağ Fındığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Bolu
Bolu Kabaklı Gözlemesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bolu
Mudurnu Bal Kabaklı Gözlemesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Bolu
Bolu Keşi;Peynirler ve tereyağı dışında kalan süt ürünleri;Bolu
