Coğrafi İşaretin Adı;Ürün Grubu;İl
Boyabat Sırık Kebabı;Yemekler ve çorbalar;Sinop
Boyabat Gazidere Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sinop
Koyulhisar Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sivas
Gemerek Gilaburusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sivas
Suşehri Kuru Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sivas
Sivas Pastırması;İşlenmiş ve işlenmemiş et ürünleri;Sivas
Tonus Köftesi;İşlenmiş ve işlenmemiş et ürünleri;Sivas
Ulaş Etli Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Sivas
Gürün Dut Pekmezi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sivas
Zara Sac Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Sivas
Zara Balı;Bal;Sivas
Sivas Katmeri;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Sivas
Sivas Köftesi;Yemekler ve çorbalar;Sivas
Sivas Pezik Turşusu / Sivas Pezik Dal Turşusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Sivas
Divriği Pilavı /Alatlı Pilavı;Yemekler ve çorbalar;Sivas
Ulaş Yaprak Döneri;Yemekler ve çorbalar;Sivas
Seymen Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tekirdağ
Küçükyoncalı Keşkeği;Yemekler ve çorbalar;Tekirdağ
Tekirdağ Peynir Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tekirdağ
Hayrabolu Çerkezmüsellim Köftesi / Hayrabolu Çerkezmüsellim Pabuç Köftesi;İşlenmiş ve işlenmemiş et ürünleri;Tekirdağ
Çorlu Kuzu Ciğer Sarma;Yemekler ve çorbalar;Tekirdağ
Hayrabolu Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tekirdağ
Malkara Eski Kaşar Peyniri;Peynirler;Tekirdağ
Velimeşe Bozası;Alkolsüz içecekler;Tekirdağ
Tekirdağ Soğanı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tekirdağ
Tekirdağ Köftesi;Yemekler ve çorbalar;Tekirdağ
Tekirdağ Bulama;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tekirdağ
Tekirdağ Yapıncak Salamura Asma Yaprağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tekirdağ
Tokat Kebabı;Yemekler ve çorbalar;Tokat
Erbaa Katmeri;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tokat
Zile Pekmezi;Çikolata, şekerleme ve türevi ürünler;Tokat
Tokat Narince Salamura Asma Yaprağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tokat
Tokat Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tokat
Zile Kömesi;Çikolata, şekerleme ve türevi ürünler;Tokat
Tokat Yağlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tokat
Tokat Üzüm Tarhanası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tokat
Erbaa Narince Bağ Yaprağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tokat
Tokat Karayaka Kuzu Eti;İşlenmiş ve işlenmemiş et ürünleri;Tokat
Turhal Yoğurtmacı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tokat
Tokat Bez Sucuk;İşlenmiş ve işlenmemiş et ürünleri;Tokat
Niksar Cevizi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tokat
Reşadiye Kırmızı Pezik Turşusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tokat
Tokat Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tokat
Akçaabat Köftesi;Yemekler ve çorbalar;Trabzon
Hamsiköy Sütlacı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Trabzon
Vakfıkebir Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Trabzon
Vakfıkebir Külek Peyniri;Peynirler;Trabzon
Trabzon Kuymağı;Yemekler ve çorbalar;Trabzon
Arsin Foşa Fındığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Trabzon
Yomra Elması;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Trabzon
Sürmene Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Trabzon
Tunceli Şorbik Çorbası;Yemekler ve çorbalar;Tunceli
Tunceli Sarımsağı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tunceli
Munzur Balı;Bal;Tunceli
Çemişgezek Ulukale Dutu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tunceli
Türk Rakısı;Biralar ve diğer alkollü içkiler;Türkiye
Geleneksel Türk Kayısı Likörü;Biralar ve diğer alkollü içkiler;Türkiye
Türk Defnesi;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Türkiye
Geleneksel Türk Çilek Likörü;Biralar ve diğer alkollü içkiler;Türkiye
Geleneksel Türk Gül Likörü;Biralar ve diğer alkollü içkiler;Türkiye
Geleneksel Türk Ahududu Likörü;Biralar ve diğer alkollü içkiler;Türkiye
Rakı;Biralar ve diğer alkollü içkiler;Türkiye
Geleneksel Türk Vişne Likörü;Biralar ve diğer alkollü içkiler;Türkiye
Uşak Haşhaş Ezmesi;Diğer ürünler;Uşak
Uşak Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Uşak
Uşak Gelin Helvası / Uşak Gelin Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Uşak
Karahallı Ciğeri;Yemekler ve çorbalar;Uşak
Uşak Ulubey Zini Hamursuzu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Uşak
Uşak Tarhanası;Yemekler ve çorbalar;Uşak
Karahallı Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Uşak
Uşak Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Uşak
Van Kürt Köftesi;Yemekler ve çorbalar;Van
Çatak Cevizi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van
Gevaş Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van
Tandırda Van Balığı / Tandırda Van İnci Kefali;Yemekler ve çorbalar;Van
Van Pastası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Van
Van Tava Yemeği;Yemekler ve çorbalar;Van
Sıhke Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van
Van Keledoşu;Yemekler ve çorbalar;Van
Van Sengeseri;Yemekler ve çorbalar;Van
Van Otlu Peyniri;Peynirler;Van
Bahçesaray Cevizi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van
Van Helise Yemeği;Yemekler ve çorbalar;Van
Van Kahvaltısı;Diğer ürünler;Van
Van Gül Reçeli;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van
Van Gölü İnci Kefali;İşlenmiş ve işlenmemiş et ürünleri;Van
Van Erişte Aşı;Yemekler ve çorbalar;Van
Van Ayran Aşı;Yemekler ve çorbalar;Van
Van Acem Köftesi;Yemekler ve çorbalar;Van
Erciş Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van
Erciş Lahanası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van
Murtuğa;Yemekler ve çorbalar;Van
Van Kavut;Yemekler ve çorbalar;Van
Yalova Kestane Balı;Bal;Yalova
Yalova Aronyası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Yalova
Yalova Kivisi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Yalova
Akdağmadeni Salebi;Diğer ürünler;Yozgat
Yozgat Arabaşısı;Yemekler ve çorbalar;Yozgat
Yozgat Çanak Peyniri;Peynirler;Yozgat
Yozgat Aydıncık Bağrıbütün Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Yozgat
Yozgat Desti Kebabı;Yemekler ve çorbalar;Yozgat
Yozgat Parmak Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Yozgat
Yozgat Tandır Kebabı;Yemekler ve çorbalar;Yozgat
Sorgun Yağlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Yozgat
Gorgonzola;Peynirler;Yurtdışı
Scotch Whisky (İskoç Viskisi);Biralar ve diğer alkollü içkiler;Yurtdışı
Zivania / Zivaniya;Biralar ve diğer alkollü içkiler;Yurtdışı
Grana Padano;Peynirler;Yurtdışı
Douro;Biralar ve diğer alkollü içkiler;Yurtdışı
Champagne;Biralar ve diğer alkollü içkiler;Yurtdışı
Hellim / Halloumi;Peynirler;Yurtdışı
Cognac;Biralar ve diğer alkollü içkiler;Yurtdışı
Parmigiano Reggiano (Parmesan Peyniri);Peynirler;Yurtdışı
Prosciutto Di Parma (Parma Ham / Parma Jambonu);İşlenmiş ve işlenmemiş et ürünleri;Yurtdışı
Karadeniz Ereğli Osmanlı Çileği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Zonguldak
Zonguldak Malay Yemeği;Yemekler ve çorbalar;Zonguldak
Çaycuma Manda Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;Zonguldak
Devrek Kömeci/Devrek Cevizli Kömeci;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Zonguldak
Devrek Kireni;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Zonguldak
Devrek Beyaz Baklavası / Devrek Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Zonguldak
Zonguldak Zılbıt Yemeği;Yemekler ve çorbalar;Zonguldak
Yenice Kırmızı Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çanakkale
Ezine Peyniri;Peynirler;Çanakkale
Işıkeli Nohut Kahvesi;Alkolsüz içecekler;Çanakkale
Bayramiç Tahin Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çanakkale
Bayramiç Elması;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çanakkale
Gelibolu Peynir Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çanakkale
Çanakkale Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çanakkale
Biga Pirinci;Diğer ürünler;Çanakkale
Bayramiç Beyazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çanakkale
Bozcaada Çavuş Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çanakkale
Lapseki Şeftalisi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çanakkale
Biga Peynir Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çanakkale
Çankırı Sarımsaklı Et;Yemekler ve çorbalar;Çankırı
Şabanözü Cızlaması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Eldivan Yağlı Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Şabanözü Bazlaması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Şabanözü Dondurma Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Kurşunlu Çiçek Balı;Bal;Çankırı
Çankırı Pıhtı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çerkeş Pırasa Dolması;Yemekler ve çorbalar;Çankırı
Çankırı Ehlibilir;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çerkeş Kurabiyesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çerkeş Badıma Bükmesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çankırı Yumurta Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çankırı Yoka (İnce) Ekmek Muskası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Yapraklı Panayır Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çankırı Yazma Çöreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çankırı Kıymalısı / Çankırı Kapalı Pidesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çankırı Küpecik Peyniri;Peynirler;Çankırı
Çankırı Kesme Kadayıfı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çankırı Kaya Tuzu;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Çankırı
Çankırı Höşmerim Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çankırı Hameyli Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çankırı Bütün Et;Yemekler ve çorbalar;Çankırı
Çerkeş Lokumu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çankırı Cimcik Hamuru Çorbası;Yemekler ve çorbalar;Çankırı
Çerkeş Sırma Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çerkeş Su Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı
Çankırı Tutmaç Çorbası;Yemekler ve çorbalar;Çankırı
Kurşunlu Keşkeği;Yemekler ve çorbalar;Çankırı
Eldivan Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çankırı
Alaca Yanıç Böreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çorum
Çorum Kuru Mantısı;Yemekler ve çorbalar;Çorum
Çorum Leblebisi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çorum
Çorum Yırtma Yemeği;Yemekler ve çorbalar;Çorum
Osmancık Yaprak İçi Yemeği;Yemekler ve çorbalar;Çorum
Osmancık Malak Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çorum
İskilip Çileği;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çorum
İskilip Turşusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çorum
Osmancık Kapari Turşusu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çorum
İskilip Ramazan Keşkeği;Yemekler ve çorbalar;Çorum
İskilip Dolması;Yemekler ve çorbalar;Çorum
İskilip Sirke Salatası;Yemekler ve çorbalar;Çorum
Osmancık Kaypak Yemeği;Yemekler ve çorbalar;Çorum
İskilip Baklavası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çorum
Alaca Borana Yemeği;Yemekler ve çorbalar;Çorum
Alaca Hingali;Yemekler ve çorbalar;Çorum
Alaca Mor Soğanı / Alaca Moru;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çorum
Alaca Cızlağı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çorum
Kışlacık Pırasası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çorum
Osmancık Ayvalı Yahnisi;Yemekler ve çorbalar;Çorum
Alaca Çılbır Yemeği;Yemekler ve çorbalar;Çorum
Alaca Yarma Aşı;Yemekler ve çorbalar;Çorum
Oğuzlar Cevizi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çorum
Kargı Tulum Peyniri;Peynirler;Çorum
Osmancık Yırtmaç Yemeği;Yemekler ve çorbalar;Çorum
İstanbul Simidi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;İstanbul
Şile Kestane Balı;Bal;İstanbul
Silivri Yoğurdu;Peynirler ve tereyağı dışında kalan süt ürünleri;İstanbul
Boğaziçi Lüferi;Diğer ürünler;İstanbul
Çatalca Ormanlı Pirinci;Diğer ürünler;İstanbul
Seferihisar Topan Karakılçık Buğdayı;Diğer ürünler;İzmir
Kavacık Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Çavuşdağı Kuru Fasulyesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Menemen Menemeni;Yemekler ve çorbalar;İzmir
Bornova Kınalı Bamyası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Bergama Çığırtması;Yemekler ve çorbalar;İzmir
Ödemiş Patatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Ödemiş Nohut Mayalı Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;İzmir
Ödemiş Köftesi;Yemekler ve çorbalar;İzmir
Gökçealan Osmancık Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Bergama Tulum Peyniri;Peynirler;İzmir
Torbalı Kuru Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Bergama Kozak Çam Fıstığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Bornova Misket Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Tire Şiş Köfte;Yemekler ve çorbalar;İzmir
Çeşme Kavunu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Çeşme Damla Sakızı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;İzmir
Bergama Köftesi;İşlenmiş ve işlenmemiş et ürünleri;İzmir
Seferihisar Mandalinası;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Gümüldür Mandalinası (Gümüldür Mandarini);İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
İzmir Gevreği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;İzmir
Bozdağ Kestane Şekeri;Çikolata, şekerleme ve türevi ürünler;İzmir
Beydağ Simit Dürüm;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;İzmir
Ege İnciri;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Kemalpaşa Kirazı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Kınık Kuru Domatesi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
İzmir Boyozu;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;İzmir
Ege Sultani Üzümü;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Bademli Koruk Şerbeti;Alkolsüz içecekler;İzmir
Arslanlar Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
İzmir Şambalisi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;İzmir
İzmir Tulum Peyniri;Peynirler;İzmir
İzmir Lokması;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;İzmir
İzmir Kumrusu;Yemekler ve çorbalar;İzmir
Urla Sakız Enginarı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir
Urfa Keten Köyneği Fıstığı / Şanlıurfa Keten Köyneği Fıstığı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa
Urfa Pendirli Kedeyif / Şanlıurfa Peynirli Kadayıf;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa
Urfa Kıymalı Söğürme / Şanlıurfa Kıymalı Söğürme;Yemekler ve çorbalar;Şanlıurfa
Urfa (Şanlıurfa) Külünçesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa
Urfa Meyan Şerbeti (Biyanbalı);Alkolsüz içecekler;Şanlıurfa
Suruç Narı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa
Hasenik Pestili;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa
Urfa (Şanlıurfa) Frenk Çömleği;Yemekler ve çorbalar;Şanlıurfa
Urfa (Şanlıurfa) Lahmacunu (Kıymalı Ekmeği);Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa
Urfa (Şanlıurfa) Patlıcanlı Kebabı;Yemekler ve çorbalar;Şanlıurfa
Urfa (Şanlıurfa) Pencer (Pazı) Boranısı;Yemekler ve çorbalar;Şanlıurfa
Urfa (Şanlıurfa) Su Kabağı Yemeği;Yemekler ve çorbalar;Şanlıurfa
Urfa (Şanlıurfa) Üzlemeli Pilavı;Yemekler ve çorbalar;Şanlıurfa
Urfa (Şanlıurfa) İsot Çömleği;Yemekler ve çorbalar;Şanlıurfa
Urfa Aya Köftesi / Şanlıurfa Aya Köftesi;Yemekler ve çorbalar;Şanlıurfa
Karaköprü Narı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa
Urfa Ağzı Açık / Şanlıurfa Ağzı Açık;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa
Birecik Patlıcanı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa
Şanlıurfa Çiğ Köfte;Yemekler ve çorbalar;Şanlıurfa
Şanlıurfa Tırnaklı Ekmeği;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa
Şanlıurfa Açık Ekmeği (Urfa Açık Ekmeği);Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa
Şanlıurfa Ağzı Yumıh / Şanlıurfa Ağzı Yumuk;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa
Şanlıurfa Bostanası / Bostana;Yemekler ve çorbalar;Şanlıurfa
Şanlıurfa Lolaz Dürmiği/Şanlıurfa Lolaz Dürümü;Yemekler ve çorbalar;Şanlıurfa
Şanlıurfa Pendirli Helvası / Şanlıurfa Peynirli Helvası;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa
Şanlıurfa Tepsi Kebabı / Urfa Tepsi Kebabı;Yemekler ve çorbalar;Şanlıurfa
Şanlıurfa Biberi;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa
Urfa Şıllık Tatlısı (Şanlıurfa Şıllık Tatlısı);Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa
Karaköprü Tat Karpuzu;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şanlıurfa
Siverek Tavası;Yemekler ve çorbalar;Şanlıurfa
Urfa Eşkili;Yemekler ve çorbalar;Şanlıurfa
Urfa Sini Darahlığı/ Şanlıurfa Sini Taraklığı;Yemekler ve çorbalar;Şanlıurfa
Urfa Miftahi Tas Kebabı/ Şanlıurfa Miftahi Tas Kebabı;Yemekler ve çorbalar;Şanlıurfa
Urfa Lebenisi;Yemekler ve çorbalar;Şanlıurfa
Urfa Peyniri / Şanlıurfa Peyniri;Peynirler;Şanlıurfa
Urfa Sac Kavurması / Şanlıurfa Sac Kavurması;Yemekler ve çorbalar;Şanlıurfa
Urfa Kazan Kebabı / Şanlıurfa Kazan Kebabı;Yemekler ve çorbalar;Şanlıurfa
Urfa Soğan Kebabı / Şanlıurfa Soğan Kebabı;Yemekler ve çorbalar;Şanlıurfa
Urfa Yumurtalı Köfte;Yemekler ve çorbalar;Şanlıurfa
Urfa Zerdesi (Şanlıurfa Zerdesi);Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şanlıurfa
Urfa İçli Köftesi;Yemekler ve çorbalar;Şanlıurfa
Urfa Keme Boranısı Yemeği/Şanlıurfa Keme Boranısı Yemeği;Yemekler ve çorbalar;Şanlıurfa
Urfa Ciğer Kebabı;Yemekler ve çorbalar;Şanlıurfa
Urfa Haşhaş Kebabı / Şanlıurfa Haşhaş Kebabı;Yemekler ve çorbalar;Şanlıurfa
Urfa Tiriti (Şanlıurfa Tiriti);Yemekler ve çorbalar;Şanlıurfa
Beytüşşebap Balı;Bal;Şırnak
Cizre Luzine Tatlısı;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şırnak
Cizre Meyre / Cizre Mehir;Yemekler ve çorbalar;Şırnak
Şırnak Soryaz;Yemekler ve çorbalar;Şırnak
Cizre Bırınczer;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şırnak
Cizre Memilheva Kurabiyesi;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şırnak
Cizre Leyminete / Limonata;Alkolsüz içecekler;Şırnak
Silopi Behnat İnciri;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Şırnak
Şımşıpe;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Şırnak
Şırnak Hanuhin / Şırnak Hanuhin Tatlısı;Çikolata, şekerleme ve türevi ürünler;Şırnak
Şırnak Dergul Tahini;Diğer ürünler;Şırnak
Ayvalık Tostu;Yemekler ve çorbalar;
Döner;İşlenmiş ve işlenmemiş et ürünleri;
Ezo Gelin Çorbası;Yemekler ve çorbalar;
Türk Çam Balı;Bal;
Şevketi Bostan / Şevket-i Bostan;Yemekler ve çorbalar;
