Coğrafi İşaretin Adı,Ürün Grubu,İl,Kalori
Mersin Tantunisi,Yemekler ve çorbalar,Mersin,304
Merzifon Keşkeği,Yemekler ve çorbalar,Amasya,230
Milas Ekşili Köfte,Yemekler ve çorbalar,Muğla,253
Milas Kanlı Kavurması,Yemekler ve çorbalar,Muğla,266
Milas Vekilharcı,Yemekler ve çorbalar,Muğla,217
Milas Çıntar Kavurması,Yemekler ve çorbalar,Muğla,245
Murtuğa,Yemekler ve çorbalar,Van,236
Muğla Göce Tarhanası,Yemekler ve çorbalar,Muğla,239
Muğla Köftesi,Yemekler ve çorbalar,Muğla,200
Muğla Sulu Kebabı,Yemekler ve çorbalar,Muğla,236
Muş Köftesi,Yemekler ve çorbalar,Muş,257
Muş Çorti Aşı (Yemeği),Yemekler ve çorbalar,Muş,300
Nevşehir Testi Kebabı,Yemekler ve çorbalar,Nevşehir,278
Niğde Kelle Söğüş,Yemekler ve çorbalar,Niğde,332
Niğde Tavası,Yemekler ve çorbalar,Niğde,200
Oltu Cağ Kebabı,Yemekler ve çorbalar,Erzurum,274
Olukbaşı Oğlak Çevirme Kebabı,Yemekler ve çorbalar,Aydın,243
Ordu Fındık Tirmidi Kavurması,Yemekler ve çorbalar,Ordu,334
Ordu Fırın Fasulyesi Kavurması,Yemekler ve çorbalar,Ordu,199
Ordu Galdirik Kavurması,Yemekler ve çorbalar,Ordu,197
Ordu Melocan Kavurması,Yemekler ve çorbalar,Ordu,208
Ordu Pancar Çorbası / Ordu Karalahana Çorbası,Yemekler ve çorbalar,Ordu,140
Ordu Sakarca Mıhlaması,Yemekler ve çorbalar,Ordu,211
Ordu Tostu,Yemekler ve çorbalar,Ordu,201
Ordu Zeytinyağlı Karalahana Sarması / Ordu Zeytinyağlı Pancar Sarması,Yemekler ve çorbalar,Ordu,242
Ordu İçli Tava,Yemekler ve çorbalar,Ordu,250
Ortaklar Çöp Şiş,Yemekler ve çorbalar,Aydın,319
Osmancık Ayvalı Yahnisi,Yemekler ve çorbalar,Çorum,278
Osmancık Kaypak Yemeği,Yemekler ve çorbalar,Çorum,209
Osmancık Yaprak İçi Yemeği,Yemekler ve çorbalar,Çorum,195
Osmancık Yırtmaç Yemeği,Yemekler ve çorbalar,Çorum,257
Osmaniye Zorkun Tava,Yemekler ve çorbalar,Osmaniye,176
Pasinler Yaprak Döner,Yemekler ve çorbalar,Erzurum,317
Polat İçli Köftesi / Polat Köftesi,Yemekler ve çorbalar,Malatya,288
Puçuko,Yemekler ve çorbalar,Artvin,214
Pınarbaşı Kara Çorba,Yemekler ve çorbalar,Kastamonu,158
Rize Etli Kara Lahana Sarması,Yemekler ve çorbalar,Rize,296
Rize Muhlaması,Yemekler ve çorbalar,Rize,230
Sakarya Kazımpaşa Köftesi,Yemekler ve çorbalar,Sakarya,291
Salihli Odun Köfte,Yemekler ve çorbalar,Manisa,163
Samsun Kaz Tiridi,Yemekler ve çorbalar,Samsun,208
Sandıklı Alacaşı,Yemekler ve çorbalar,Afyonkarahisar,235
Sandıklı Kapama Yemeği,Yemekler ve çorbalar,Afyonkarahisar,237
Sandıklı Saç Eti,Yemekler ve çorbalar,Afyonkarahisar,215
Senirkent Banağı,Yemekler ve çorbalar,Isparta,263
Siirt Büryan Kebabı,Yemekler ve çorbalar,Siirt,187
Siirt Perde Pilavı,Yemekler ve çorbalar,Siirt,229
Siirt İçli Köftesi / Siirt Kiteli,Yemekler ve çorbalar,Siirt,240
Sinop Mantısı,Yemekler ve çorbalar,Sinop,258
Sivas Köftesi,Yemekler ve çorbalar,Sivas,267
Siverek Tavası,Yemekler ve çorbalar,Şanlıurfa,184
Sivrihisar Arabaşı,Yemekler ve çorbalar,Eskişehir,166
Sivrihisar Kelem Dolması,Yemekler ve çorbalar,Eskişehir,292
Susurluk Tostu,Yemekler ve çorbalar,Balıkesir,250
Söke Kulak Çorbası,Yemekler ve çorbalar,Aydın,201
Tandırda Van Balığı / Tandırda Van İnci Kefali,Yemekler ve çorbalar,Van,305
Tarsus Humusu,Yemekler ve çorbalar,Mersin,240
Tarsus Kebabı,Yemekler ve çorbalar,Mersin,288
Tavşanlı Güveci / Tavşanlı Göveci,Yemekler ve çorbalar,Kütahya,238
Taşköprü Kuyu Kebabı,Yemekler ve çorbalar,Kastamonu,328
Tekirdağ Köftesi,Yemekler ve çorbalar,Tekirdağ,314
Tire Şiş Köfte,Yemekler ve çorbalar,İzmir,224
Tokat Kebabı,Yemekler ve çorbalar,Tokat,279
Trabzon Kuymağı,Yemekler ve çorbalar,Trabzon,264
Tunceli Şorbik Çorbası,Yemekler ve çorbalar,Tunceli,297
Ulaş Yaprak Döneri,Yemekler ve çorbalar,Sivas,192
Uluborlu Banağı,Yemekler ve çorbalar,Isparta,266
Urfa (Şanlıurfa) Frenk Çömleği,Yemekler ve çorbalar,Şanlıurfa,283
Urfa (Şanlıurfa) Patlıcanlı Kebabı,Yemekler ve çorbalar,Şanlıurfa,156
Urfa (Şanlıurfa) Pencer (Pazı) Boranısı,Yemekler ve çorbalar,Şanlıurfa,182
Urfa (Şanlıurfa) Su Kabağı Yemeği,Yemekler ve çorbalar,Şanlıurfa,143
Urfa (Şanlıurfa) Üzlemeli Pilavı,Yemekler ve çorbalar,Şanlıurfa,223
Urfa (Şanlıurfa) İsot Çömleği,Yemekler ve çorbalar,Şanlıurfa,267
Urfa Aya Köftesi / Şanlıurfa Aya Köftesi,Yemekler ve çorbalar,Şanlıurfa,303
Urfa Ciğer Kebabı,Yemekler ve çorbalar,Şanlıurfa,238
Urfa Eşkili,Yemekler ve çorbalar,Şanlıurfa,308
Urfa Haşhaş Kebabı / Şanlıurfa Haşhaş Kebabı,Yemekler ve çorbalar,Şanlıurfa,173
Urfa Kazan Kebabı / Şanlıurfa Kazan Kebabı,Yemekler ve çorbalar,Şanlıurfa,158
Urfa Keme Boranısı Yemeği/Şanlıurfa Keme Boranısı Yemeği,Yemekler ve çorbalar,Şanlıurfa,233
Urfa Kıymalı Söğürme / Şanlıurfa Kıymalı Söğürme,Yemekler ve çorbalar,Şanlıurfa,252
Urfa Lebenisi,Yemekler ve çorbalar,Şanlıurfa,234
Urfa Miftahi Tas Kebabı/ Şanlıurfa Miftahi Tas Kebabı,Yemekler ve çorbalar,Şanlıurfa,142
Urfa Sac Kavurması / Şanlıurfa Sac Kavurması,Yemekler ve çorbalar,Şanlıurfa,231
Urfa Sini Darahlığı/ Şanlıurfa Sini Taraklığı,Yemekler ve çorbalar,Şanlıurfa,176
Urfa Soğan Kebabı / Şanlıurfa Soğan Kebabı,Yemekler ve çorbalar,Şanlıurfa,265
Urfa Tiriti (Şanlıurfa Tiriti),Yemekler ve çorbalar,Şanlıurfa,251
Urfa Yumurtalı Köfte,Yemekler ve çorbalar,Şanlıurfa,193
Urfa İçli Köftesi,Yemekler ve çorbalar,Şanlıurfa,212
Uzunköprü Köftesi,Yemekler ve çorbalar,Edirne,187
Uşak Tarhanası,Yemekler ve çorbalar,Uşak,232
Van Acem Köftesi,Yemekler ve çorbalar,Van,278
Van Ayran Aşı,Yemekler ve çorbalar,Van,191
Van Erişte Aşı,Yemekler ve çorbalar,Van,258
Van Helise Yemeği,Yemekler ve çorbalar,Van,211
Van Kavut,Yemekler ve çorbalar,Van,199
Van Keledoşu,Yemekler ve çorbalar,Van,230
Van Kürt Köftesi,Yemekler ve çorbalar,Van,188
Van Sengeseri,Yemekler ve çorbalar,Van,210
Van Tava Yemeği,Yemekler ve çorbalar,Van,181
Yakakent Mantısı,Yemekler ve çorbalar,Samsun,323
Yalıköy Köftesi,Yemekler ve çorbalar,Ordu,237
Yeşilyurt Kiraz Yaprağı Sarma Köftesi / Yeşilyurt Kiraz Yaprağı Sarması,Yemekler ve çorbalar,Malatya,204
Yozgat Arabaşısı,Yemekler ve çorbalar,Yozgat,245
Yozgat Desti Kebabı,Yemekler ve çorbalar,Yozgat,230
Yozgat Tandır Kebabı,Yemekler ve çorbalar,Yozgat,225
Yufkalı Konuralp Pilavı,Yemekler ve çorbalar,Düzce,263
Zeyniler Hınkalı,Yemekler ve çorbalar,Bursa,269
Zonguldak Malay Yemeği,Yemekler ve çorbalar,Zonguldak,211
Zonguldak Zılbıt Yemeği,Yemekler ve çorbalar,Zonguldak,209
Çakallı Menemeni,Yemekler ve çorbalar,Samsun,223
Çankırı Bütün Et,Yemekler ve çorbalar,Çankırı,140
Çankırı Cimcik Hamuru Çorbası,Yemekler ve çorbalar,Çankırı,167
Çankırı Sarımsaklı Et,Yemekler ve çorbalar,Çankırı,297
Çankırı Tutmaç Çorbası,Yemekler ve çorbalar,Çankırı,309
Çarşamba Keşkeği,Yemekler ve çorbalar,Samsun,224
Çayeli Kuru Fasulye Yemeği,Yemekler ve çorbalar,Rize,261
Çerkeş Pırasa Dolması,Yemekler ve çorbalar,Çankırı,249
Çine Köftesi,Yemekler ve çorbalar,Aydın,360
Çorlu Kuzu Ciğer Sarma,Yemekler ve çorbalar,Tekirdağ,285
Çorum Kuru Mantısı,Yemekler ve çorbalar,Çorum,229
Çorum Yırtma Yemeği,Yemekler ve çorbalar,Çorum,192
Çubuk Homaçası,Yemekler ve çorbalar,Ankara,163
Ödemiş Köftesi,Yemekler ve çorbalar,İzmir,244
İhsangazi Ekşili Pilavı,Yemekler ve çorbalar,Kastamonu,201
İnegöl Büryanı / İnegöl Mişörizi,Yemekler ve çorbalar,Bursa,171
İnegöl Köfte,Yemekler ve çorbalar,Bursa,206
İnegöl Piyazı,Yemekler ve çorbalar,Bursa,186
İscehisar Mermer Kebabı,Yemekler ve çorbalar,Afyonkarahisar,311
İskilip Dolması,Yemekler ve çorbalar,Çorum,275
İskilip Ramazan Keşkeği,Yemekler ve çorbalar,Çorum,235
İskilip Sirke Salatası,Yemekler ve çorbalar,Çorum,302
İzmir Kumrusu,Yemekler ve çorbalar,İzmir,238
Şanlıurfa Bostanası / Bostana,Yemekler ve çorbalar,Şanlıurfa,196
Şanlıurfa Lolaz Dürmiği/Şanlıurfa Lolaz Dürümü,Yemekler ve çorbalar,Şanlıurfa,304
Şanlıurfa Tepsi Kebabı / Urfa Tepsi Kebabı,Yemekler ve çorbalar,Şanlıurfa,259
Şanlıurfa Çiğ Köfte,Yemekler ve çorbalar,Şanlıurfa,188
Şevketi Bostan / Şevket-i Bostan,Yemekler ve çorbalar,,226
Şuhut Keşkeği,Yemekler ve çorbalar,Afyonkarahisar,196
Şırnak Soryaz,Yemekler ve çorbalar,Şırnak,173
Avşa Ada Karası Şarabı,Biralar ve diğer alkollü içkiler,Balıkesir,75
Geleneksel Türk Ahududu Likörü,Biralar ve diğer alkollü içkiler,Türkiye,260
Geleneksel Türk Gül Likörü,Biralar ve diğer alkollü içkiler,Türkiye,265
Geleneksel Türk Kayısı Likörü,Biralar ve diğer alkollü içkiler,Türkiye,266
Geleneksel Türk Vişne Likörü,Biralar ve diğer alkollü içkiler,Türkiye,270
Geleneksel Türk Çilek Likörü,Biralar ve diğer alkollü içkiler,Türkiye,255
Rakı,Biralar ve diğer alkollü içkiler,Türkiye,262
Türk Rakısı,Biralar ve diğer alkollü içkiler,Türkiye,262
Antep Zahter Balı / Gaziantep Zahter Balı,Bal,Gaziantep,330
Anzer Balı,Bal,Rize,320
Ardahan Çiçek Balı,Bal,Ardahan,325
Arhavi Kestane Balı,Bal,Artvin,345
Ayder Balı,Bal,Rize,323
Ağrı Geven Balı,Bal,Ağrı,315
Babadağ Kekik Balı,Bal,Denizli,326
Bayburt Balı,Bal,Bayburt,325
Beytüşşebap Balı,Bal,Şırnak,320
Bingöl Balı,Bal,Bingöl,325
Bitlis Balı,Bal,Bitlis,325
Dikmen Çiçek Balı / Dikmen Kekik Balı,Bal,Aydın,325
Düzce Kestane Balı,Bal,Düzce,326
Elazığ Geven Balı,Bal,Elazığ,315
Hatila Balı,Bal,Artvin,322
Kars Balı,Bal,Kars,320
Kastamonu Kestane Balı,Bal,Kastamonu,326
Keşan Korudağ Çiçek Balı,Bal,Edirne,325
Kocaali Çamdağı Kestane Balı,Bal,Sakarya,326
Kurşunlu Çiçek Balı,Bal,Çankırı,325
Kırklareli Meşe Balı,Bal,Kırklareli,326
Marmaris Çam Balı,Bal,Muğla,327
Munzur Balı,Bal,Tunceli,320
Muğla Çam Balı,Bal,Muğla,327
Pervari Balı,Bal,Siirt,320
Refahiye Balı,Bal,Erzincan,320
Salıpazarı Kestane Balı,Bal,Samsun,326
Sason Balı,Bal,Batman,330
Sinop Kestane Balı,Bal,Sinop,328
Türk Çam Balı,Bal,,327
Yalova Kestane Balı,Bal,Yalova,326
Yenice Ihlamur Balı,Bal,Karabük,330
Zara Balı,Bal,Sivas,324
Özvatan Çiçek Balı,Bal,Kayseri,325
Şile Kestane Balı,Bal,İstanbul,326
Afyon Lokumu,"Çikolata, şekerleme ve türevi ürünler",Afyonkarahisar,376
Antep Fıstık Ezmesi (Antepfıstığı Ezmesi / Gaziantep Fıstık Ezmesi),"Çikolata, şekerleme ve türevi ürünler",Gaziantep,523
Antep Muskası (Gaziantep Muskası),"Çikolata, şekerleme ve türevi ürünler",Gaziantep,367
Arapgir Pohmutu /Pohmut,"Çikolata, şekerleme ve türevi ürünler",Malatya,350
Bafra Kaymaklı Lokum,"Çikolata, şekerleme ve türevi ürünler",Samsun,370
Battalgazi Haşhaşlı Dut Pestili,"Çikolata, şekerleme ve türevi ürünler",Malatya,388
Beypazarı Cevizli Tatlı Sucuk,"Çikolata, şekerleme ve türevi ürünler",Ankara,379
Beypazarı Havuç Lokumu,"Çikolata, şekerleme ve türevi ürünler",Ankara,368
Bolu Fındık Şekeri,"Çikolata, şekerleme ve türevi ürünler",Bolu,277
Bozdağ Kestane Şekeri,"Çikolata, şekerleme ve türevi ürünler",İzmir,273
Bozdoğan Cevizli Sucuğu,"Çikolata, şekerleme ve türevi ürünler",Aydın,381
Bozyazı Kavutu,"Çikolata, şekerleme ve türevi ürünler",Mersin,266
Burdur Ceviz Ezmesi,"Çikolata, şekerleme ve türevi ürünler",Burdur,499
Burdur Haşhaş Helvası,"Çikolata, şekerleme ve türevi ürünler",Burdur,535
Bursa Kestane Şekeri,"Çikolata, şekerleme ve türevi ürünler",Bursa,275
Diyarbakır Badem Ezmesi / Diyarbakır Lebzüniyesi,"Çikolata, şekerleme ve türevi ürünler",Diyarbakır,498
Edirne Badem Ezmesi,"Çikolata, şekerleme ve türevi ürünler",Edirne,515
Elazığ Orciği,"Çikolata, şekerleme ve türevi ürünler",Elazığ,274
Erkilet Kedi Bacağı,"Çikolata, şekerleme ve türevi ürünler",Kayseri,300
Giresun Fındık Ezmesi,"Çikolata, şekerleme ve türevi ürünler",Giresun,526
Gümüşhane Dut Pestili,"Çikolata, şekerleme ve türevi ürünler",Gümüşhane,300
Gümüşhane Kömesi,"Çikolata, şekerleme ve türevi ürünler",Gümüşhane,212
Konya Peynir Şekeri,"Çikolata, şekerleme ve türevi ürünler",Konya,255
Kütahya Bitli Helva,"Çikolata, şekerleme ve türevi ürünler",Kütahya,550
Malatya Köpük Pestili,"Çikolata, şekerleme ve türevi ürünler",Malatya,294
Maraş Fıstık Ezmesi,"Çikolata, şekerleme ve türevi ürünler",Kahramanmaraş,501
Maraş Samsası,"Çikolata, şekerleme ve türevi ürünler",Kahramanmaraş,413
Mardin İmlebbes,"Çikolata, şekerleme ve türevi ürünler",Mardin,166
Mersin Cezeryesi,"Çikolata, şekerleme ve türevi ürünler",Mersin,375
Osmaneli Ayva Lokumu,"Çikolata, şekerleme ve türevi ürünler",Bilecik,369
Pamukova Ceviz Ezmesi,"Çikolata, şekerleme ve türevi ürünler",Sakarya,511
Safranbolu Lokumu,"Çikolata, şekerleme ve türevi ürünler",Karabük,388
Sandıklı Kürek Helvası,"Çikolata, şekerleme ve türevi ürünler",Afyonkarahisar,540
Tarsus Yayla Bandırması,"Çikolata, şekerleme ve türevi ürünler",Mersin,251
Tillo Heriresi,"Çikolata, şekerleme ve türevi ürünler",Siirt,165
Tortum Ekşi Pestili,"Çikolata, şekerleme ve türevi ürünler",Erzurum,345
Zile Kömesi,"Çikolata, şekerleme ve türevi ürünler",Tokat,177
Zile Pekmezi,"Çikolata, şekerleme ve türevi ürünler",Tokat,242
Çatalzeytin Fındık Şekeri,"Çikolata, şekerleme ve türevi ürünler",Kastamonu,306
İzmit Pişmaniyesi,"Çikolata, şekerleme ve türevi ürünler",Kocaeli,454
Şırnak Hanuhin / Şırnak Hanuhin Tatlısı,"Çikolata, şekerleme ve türevi ürünler",Şırnak,320
Afyonkarahisar Haşhaş Ezmesi,Diğer ürünler,Afyonkarahisar,524
Akdağmadeni Salebi,Diğer ürünler,Yozgat,234
Antep Bulguru / Gaziantep Bulguru,Diğer ürünler,Gaziantep,320
Antep Firiği,Diğer ürünler,Gaziantep,560
Antep Menengiç Kahvesi / Gaziantep Menengiç Kahvesi / Antep Melengiç Kahvesi / Gaziantep Melengiç Kahvesi,Diğer ürünler,Gaziantep,285
Antep Zahter Çayı / Gaziantep Zahter Çayı,Diğer ürünler,Gaziantep,269
Ardahan Kavılca Buğdayı,Diğer ürünler,Ardahan,304
Balıkesir Gönen Pirinci,Diğer ürünler,Balıkesir,311
Biga Pirinci,Diğer ürünler,Çanakkale,326
Bolu Kıbrıscık Pirinci,Diğer ürünler,Bolu,307
Bozkır Tahini,Diğer ürünler,Konya,555
Boğaziçi Lüferi,Diğer ürünler,İstanbul,215
Bucak Salebi,Diğer ürünler,Burdur,234
Diyarbakır İncaz Hoşafı,Diğer ürünler,Diyarbakır,93
Elazığ Menceki Buğdayı,Diğer ürünler,Elazığ,322
Elazığ Çedene Kahvesi,Diğer ürünler,Elazığ,278
Erzurum Kıtlama Şekeri,Diğer ürünler,Erzurum,400
Fethiye Tahini,Diğer ürünler,Muğla,567
Gaziantep Susamlı Kıtır Helva,Diğer ürünler,Gaziantep,503
Karacadağ Pirinci,Diğer ürünler,Diyarbakır,266
Kastamonu Siyez Bulguru,Diğer ürünler,Kastamonu,298
Kastamonu Siyez Buğdayı,Diğer ürünler,Kastamonu,257
Kastamonu Siyez Unu,Diğer ürünler,Kastamonu,333
Konuralp Pirinci,Diğer ürünler,Düzce,284
Konya Kayısı Hoşafı / Konya Zerdali Hoşafı,Diğer ürünler,Konya,91
Kızıltepe Kırmızı Mercimeği,Diğer ürünler,Mardin,322
Manavgat Altın Susamı,Diğer ürünler,Antalya,573
Mardin Bulguru,Diğer ürünler,Mardin,332
Rize Çayı,Diğer ürünler,Rize,270
Sandıklı Haşhaş Ezmesi,Diğer ürünler,Afyonkarahisar,524
Seferihisar Topan Karakılçık Buğdayı,Diğer ürünler,İzmir,296
Sütçüler Kekik Yağı,Diğer ürünler,Isparta,774
Tosya Pirinci,Diğer ürünler,Kastamonu,342
Uşak Haşhaş Ezmesi,Diğer ürünler,Uşak,515
Van Kahvaltısı,Diğer ürünler,Van,1350
Çatalca Ormanlı Pirinci,Diğer ürünler,İstanbul,333
Çukurca Tahini,Diğer ürünler,Hakkari,546
İpsala Pirinci,Diğer ürünler,Edirne,321
Şırnak Dergul Tahini,Diğer ürünler,Şırnak,591
Adana Bici Bici,Dondurmalar ve yenilebilir buzlar,Adana,115
Görele Dondurması,Dondurmalar ve yenilebilir buzlar,Giresun,170
Maraş Dondurması,Dondurmalar ve yenilebilir buzlar,Kahramanmaraş,176
Nazilli Kar Helvası,Dondurmalar ve yenilebilir buzlar,Aydın,158
Afyon Pastırması,İşlenmiş ve işlenmemiş et ürünleri,Afyonkarahisar,292
Afyon Sucuğu,İşlenmiş ve işlenmemiş et ürünleri,Afyonkarahisar,241
Ankara Erkeç Pastırması,İşlenmiş ve işlenmemiş et ürünleri,Ankara,304
Ardahan Kaz Eti,İşlenmiş ve işlenmemiş et ürünleri,Ardahan,174
Balıkesir Kuzu Eti,İşlenmiş ve işlenmemiş et ürünleri,Balıkesir,133
Bartın Şapşap Köftesi,İşlenmiş ve işlenmemiş et ürünleri,Bartın,233
Bergama Köftesi,İşlenmiş ve işlenmemiş et ürünleri,İzmir,378
Diyarbakır Şırdanlı Bastırma,İşlenmiş ve işlenmemiş et ürünleri,Diyarbakır,313
Döner,İşlenmiş ve işlenmemiş et ürünleri,,314
Erzurum Et Kavurması,İşlenmiş ve işlenmemiş et ürünleri,Erzurum,295
Erzurum Pastırması,İşlenmiş ve işlenmemiş et ürünleri,Erzurum,215
Erzurum Sucuğu,İşlenmiş ve işlenmemiş et ürünleri,Erzurum,215
Hayrabolu Çerkezmüsellim Köftesi / Hayrabolu Çerkezmüsellim Pabuç Köftesi,İşlenmiş ve işlenmemiş et ürünleri,Tekirdağ,271
Kars Kaz Eti,İşlenmiş ve işlenmemiş et ürünleri,Kars,223
Kastamonu Pastırması,İşlenmiş ve işlenmemiş et ürünleri,Kastamonu,220
Kayseri Kavurması,İşlenmiş ve işlenmemiş et ürünleri,Kayseri,207
Kayseri Pastırması,İşlenmiş ve işlenmemiş et ürünleri,Kayseri,171
Kayseri Sucuk İçi,İşlenmiş ve işlenmemiş et ürünleri,Kayseri,277
Kayseri Sucuğu,İşlenmiş ve işlenmemiş et ürünleri,Kayseri,179
Kırklareli Kıvırcık Kuzu Eti,İşlenmiş ve işlenmemiş et ürünleri,Kırklareli,139
Milas Ciğer Kavurması,İşlenmiş ve işlenmemiş et ürünleri,Muğla,369
Milas Köftesi,İşlenmiş ve işlenmemiş et ürünleri,Muğla,234
Prosciutto Di Parma (Parma Ham / Parma Jambonu),İşlenmiş ve işlenmemiş et ürünleri,Yurtdışı,257
Rize Kavurması,İşlenmiş ve işlenmemiş et ürünleri,Rize,338
Sinop Lakerdası,İşlenmiş ve işlenmemiş et ürünleri,Sinop,208
Sivas Pastırması,İşlenmiş ve işlenmemiş et ürünleri,Sivas,261
Sivrihisar Dövme Sucuğu,İşlenmiş ve işlenmemiş et ürünleri,Eskişehir,250
Tokat Bez Sucuk,İşlenmiş ve işlenmemiş et ürünleri,Tokat,282
Tokat Karayaka Kuzu Eti,İşlenmiş ve işlenmemiş et ürünleri,Tokat,204
Tonus Köftesi,İşlenmiş ve işlenmemiş et ürünleri,Sivas,229
Van Gölü İnci Kefali,İşlenmiş ve işlenmemiş et ürünleri,Van,104
İncirliova Deve Sucuğu,İşlenmiş ve işlenmemiş et ürünleri,Aydın,300
Antakya Carra Peyniri,Peynirler,Hatay,366
Antakya Küflü Sürkü (Çökeleği),Peynirler,Hatay,335
Antakya Künefelik Peyniri,Peynirler,Hatay,374
Antakya Sürkü (Antakya Çökeleği),Peynirler,Hatay,417
Antep Peyniri / Gaziantep Peyniri / Antep Sıkma Peyniri,Peynirler,Gaziantep,330
Atlantı Dededağ Tulum Peyniri,Peynirler,Konya,330
Ayvalık Kelle Peyniri/Ayvalık Sepet Peyniri,Peynirler,Balıkesir,419
Ağrı Tulum Peyniri,Peynirler,Ağrı,379
Bergama Tulum Peyniri,Peynirler,İzmir,319
Diyarbakır Örgü Peyniri,Peynirler,Diyarbakır,368
Edirne Beyaz Peyniri,Peynirler,Edirne,319
Elbistan Kelle Peyniri,Peynirler,Kahramanmaraş,319
Erzincan Tulum Peyniri,Peynirler,Erzincan,354
Erzurum Civil Peyniri,Peynirler,Erzurum,250
Erzurum Küflü Civil Peyniri (Göğermiş Peynir),Peynirler,Erzurum,257
Ezine Peyniri,Peynirler,Çanakkale,314
Gorgonzola,Peynirler,Yurtdışı,292
Grana Padano,Peynirler,Yurtdışı,357
Gümüşhane Deleme Peyniri,Peynirler,Gümüşhane,297
Hanak Tel Peyniri,Peynirler,Ardahan,273
Hellim / Halloumi,Peynirler,Yurtdışı,376
Karaman Divle Obruğu Tulum Peyniri,Peynirler,Karaman,331
Kargı Tulum Peyniri,Peynirler,Çorum,345
Kars Gravyer Peyniri,Peynirler,Kars,272
Kars Kaşarı,Peynirler,Kars,315
Kepsut Bükdere Küflü Katık Peyniri,Peynirler,Balıkesir,347
Kırklareli Beyaz Peyniri,Peynirler,Kırklareli,285
Kırklareli Eski Kaşar Peyniri,Peynirler,Kırklareli,360
Malatya Peyniri,Peynirler,Malatya,312
Malkara Eski Kaşar Peyniri,Peynirler,Tekirdağ,328
Manyas Kelle Peyniri,Peynirler,Balıkesir,312
Maraş Parmak /Sıkma Peyniri,Peynirler,Kahramanmaraş,433
Mengen Peyniri,Peynirler,Bolu,341
Muş Eski Kaşarı,Peynirler,Muş,290
Parmigiano Reggiano (Parmesan Peyniri),Peynirler,Yurtdışı,382
Pınarbaşı Uzunyayla Çerkes Peyniri,Peynirler,Kayseri,282
Sakarya Abhaz (Abaza) Peyniri,Peynirler,Sakarya,352
Savaştepe Mihaliç Kelle Peyniri,Peynirler,Balıkesir,250
Talas Çörekotlu Çömlek Peyniri,Peynirler,Kayseri,277
Urfa Peyniri / Şanlıurfa Peyniri,Peynirler,Şanlıurfa,352
Vakfıkebir Külek Peyniri,Peynirler,Trabzon,378
Van Otlu Peyniri,Peynirler,Van,350
Yozgat Çanak Peyniri,Peynirler,Yozgat,336
Yüksekova Çirek Peyniri,Peynirler,Hakkari,327
Çankırı Küpecik Peyniri,Peynirler,Çankırı,269
Çayeli Koloti Peyniri,Peynirler,Rize,307
İvrindi Kelle Peyniri,Peynirler,Balıkesir,319
İzmir Tulum Peyniri,Peynirler,İzmir,394
Adana Aşlama,Alkolsüz içecekler,Adana,75
Adana Şalgamı,Alkolsüz içecekler,Adana,22
Alanya Fıstıklı Limonata,Alkolsüz içecekler,Antalya,16
"Antep Meyan Şerbeti (Gaziantep Meyan Şerbeti, Antep Meyankökü Şerbeti)",Alkolsüz içecekler,Gaziantep,60
Antep Urmu Dut Şurubu / Gaziantep Urmu Dut Şurubu,Alkolsüz içecekler,Gaziantep,71
Bademli Koruk Şerbeti,Alkolsüz içecekler,İzmir,71
Bursa Üzüm Şırası,Alkolsüz içecekler,Bursa,80
Cizre Leyminete / Limonata,Alkolsüz içecekler,Şırnak,18
Düzce Şırası,Alkolsüz içecekler,Düzce,55
Gümüşhane Kuşburnu Nektarı,Alkolsüz içecekler,Gümüşhane,75
Işıkeli Nohut Kahvesi,Alkolsüz içecekler,Çanakkale,270
Konya Reyhan Şerbeti,Alkolsüz içecekler,Konya,70
Kırklareli Hardaliyesi,Alkolsüz içecekler,Kırklareli,74
Malatya Pirpirimli Acılı Ayran / Malatya Semizotlu Acılı Ayran,Alkolsüz içecekler,Malatya,63
Maraş Ravanda Şerbeti,Alkolsüz içecekler,Kahramanmaraş,64
Sirkencübin / Sirkengebin,Alkolsüz içecekler,Konya,70
Susurluk Ayranı,Alkolsüz içecekler,Balıkesir,68
Tarsus Şalgamı,Alkolsüz içecekler,Mersin,27
Urfa Meyan Şerbeti (Biyanbalı),Alkolsüz içecekler,Şanlıurfa,68
Velimeşe Bozası,Alkolsüz içecekler,Tekirdağ,76
Ünye İzabella Üzüm Suyu,Alkolsüz içecekler,Ordu,80
Afyon Kaymağı,Peynirler ve tereyağı dışında kalan süt ürünleri,Afyonkarahisar,89
Afyon Manda Yoğurdu / Afyonkarahisar Manda Yoğurdu,Peynirler ve tereyağı dışında kalan süt ürünleri,Afyonkarahisar,84
Antakya Tuzlu Yoğurdu,Peynirler ve tereyağı dışında kalan süt ürünleri,Hatay,590
Balıkesir Manda Kaymağı,Peynirler ve tereyağı dışında kalan süt ürünleri,Balıkesir,597
Başyayla Karın Kaymağı,Peynirler ve tereyağı dışında kalan süt ürünleri,Karaman,83
Bolu Keşi,Peynirler ve tereyağı dışında kalan süt ürünleri,Bolu,83
Bolu Manda Kaymağı,Peynirler ve tereyağı dışında kalan süt ürünleri,Bolu,598
Emirdağ Koyun Yoğurdu,Peynirler ve tereyağı dışında kalan süt ürünleri,Afyonkarahisar,91
