Coğrafi Işaretin Adı;Dosya Numarası;Başvuru Tarihi;Tescil Numarası;Tescil Tarihi;Türü;Ürün grubu;İl;Başvuru Yapan/Tescil Ettiren;Durumu
Karapınar Koyun Yoğurdu;C2022/000238;1.08.2022;1772;5.09.2025;Mahreç İşareti;Peynirler ve tereyağı dışında kalan süt ürünleri;Konya;Karapınar Ticaret Borsası;Tescilli
Karapınar Tülü Dokuması;C2022/000474;28.12.2022;1586;8.05.2024;Mahreç İşareti;Dokumalar;Konya;Karapınar Ticaret ve Sanayi Odası;Tescilli
Karataş Kıddesi;C2021/000087;28.02.2021;986;27.12.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Adana;Karataş Belediyesi;Tescilli
Karatepe Kilimi;C2020/423;2.12.2020;785;22.06.2021;Mahreç İşareti;Halılar ve kilimler;Osmaniye;Kadirli Ticaret Borsası;Tescilli
Kargı Tulum Peyniri;C2018/167;8.08.2018;933;26.10.2021;Menşe Adı;Peynirler;Çorum;Kargı Belediyesi;Tescilli
Karnavas Bezi;C2021/000149;30.03.2021;976;20.12.2021;Mahreç İşareti;Dokumalar;Erzurum;Olur Kaymakamlığı;Tescilli
Karnavas Dut Pekmezi;C2005/023;12.08.2005;112;9.06.2009;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzurum;Ormanağzı Köyü Muhtarlığı;Tescilli
Kars Balı;C2016/112;23.12.2016;374;10.08.2018;Menşe Adı;Bal;Kars;Kars İli Arı Yetiştiricileri Birliği;Tescilli
Kars El Halısı;C1996/013;21.06.1996;8;14.11.1997;Mahreç İşareti;Halılar ve kilimler;Kars;Kars Belediyesi;Tescilli
Kars Gravyer Peyniri;C2021/000357;24.09.2021;1640;17.09.2024;Mahreç İşareti;Peynirler;Kars;Kars Ticaret ve Sanayi Odası;Tescilli
Kars Kaz Eti;C2021/053;2.02.2021;1479;3.10.2023;Menşe Adı;İşlenmiş ve işlenmemiş et ürünleri;Kars;Kars Ticaret ve Sanayi Odası;Tescilli
Kars Kaşarı;C2014/013;14.02.2014;190;12.10.2015;Menşe Adı;Peynirler;Kars;Kafkas Üniversitesi Rektörlüğü;Tescilli
Kars Ketesi;C2021/000365;27.09.2021;1366;25.05.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kars;Kars Ticaret ve Sanayi Odası;Tescilli
Kars Türk Çoban Köpeği;C2001/003;3.05.2001;40;10.12.2002;Menşe Adı;Diğer ürünler;Kars;Askeri Veteriner Okulu ve Eğitim Me. Komutanlığı;Tescilli
Kastamonu Eğşisi;C2019/182;13.11.2019;1270;7.12.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kastamonu;Kastamonu Belediyesi;Tescilli
Kastamonu Kestane Balı;C2018/237;20.12.2018;1190;12.08.2022;Menşe Adı;Bal;Kastamonu;Kastamonu İli Arı Yetiştiricileri Birliği;Tescilli
Kastamonu Kuzu Kestanesi;C2022/000197;24.06.2022;1549;29.02.2024;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kastamonu;S.S. Cide Kadın Girişimciler ve Üreticiler İşletme Kooperatifi;Tescilli
Kastamonu Maroon Marinace Mermeri;C2021/000107;8.03.2021;1286;13.12.2022;Menşe Adı;Diğer ürünler;Kastamonu;Kastamonu Ticaret ve Sanayi Odası;Tescilli
Kastamonu Pastırması;C2018/006;29.12.2017;711;29.03.2021;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Kastamonu;Kastamonu Esnaf ve Sanatkarlar Odaları Birliği;Tescilli
Kastamonu Simidi;C2017/247;22.12.2017;435;21.06.2019;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kastamonu;Kastamonu Belediyesi;Tescilli
Kastamonu Siyez Bulguru;C2017/201;17.11.2017;413;11.02.2019;Menşe Adı;Diğer ürünler;Kastamonu;Kastamonu Ticaret ve Sanayi Odası;Tescilli
Kastamonu Siyez Buğdayı;C2019/001;4.01.2019;545;25.09.2020;Menşe Adı;Diğer ürünler;Kastamonu;Kastamonu Ziraat Odası;Tescilli
Kastamonu Siyez Unu;C2018/154;13.07.2018;759;18.05.2021;Mahreç İşareti;Diğer ürünler;Kastamonu;Kastamonu Ticaret ve Sanayi Odası;Tescilli
Kastamonu Taş Baskı Dokuması;C2018/163;31.07.2018;465;18.10.2019;Mahreç İşareti;Dokumalar;Kastamonu;Kastamonu Ticaret ve Sanayi Odası;Tescilli
Kastamonu Tiridi / Kastamonu Simit Tiridi;C2017/246;22.12.2017;474;16.12.2019;Mahreç İşareti;Yemekler ve çorbalar;Kastamonu;Kastamonu Belediyesi;Tescilli
Kastamonu Çarşaf Bağı;C2022/000100;10.03.2022;1295;19.12.2022;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Kastamonu;Kastamonu İl Milli Eğitim Müdürlüğü;Tescilli
Kastamonu Çekme Helvası;C2017/202;17.11.2017;388;17.10.2018;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kastamonu;Kastamonu Ticaret ve Sanayi Odası;Tescilli
Kastamonu Örme Fanilası/Kastamonu Fanilası;C2019/060;22.05.2019;600;20.11.2020;Mahreç İşareti;Dokumalar;Kastamonu;Kastamonu Esnaf ve Sanatkarlar Odaları Birliği;Tescilli
Kastamonu Üryani Eriği;C2019/086;17.07.2019;804;17.07.2021;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Kastamonu;Daday Belediyesi;Tescilli
Kavacık Üzümü;C2018/096;6.04.2018;475;20.12.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir;Karabağlar Belediyesi;Tescilli
