Coğrafi Işaretin Adı;Dosya Numarası;Başvuru Tarihi;Tescil Numarası;Tescil Tarihi;Türü;Ürün grubu;İl;Başvuru Yapan/Tescil Ettiren;Durumu
Döner;G2020/014;13.05.2020;G5;9.12.2021;Geleneksel Ürün Adı;İşlenmiş ve işlenmemiş et ürünleri;;Uluslararası Döner Fedarasyonu (UDOFED);Tescilli
Dörtyol Mandarini;C2018/061;14.03.2018;468;31.10.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Hatay;Dörtyol Turunçgil Üreticileri Birliği;Tescilli
Döşemealtı El Halısı;C2020/246;27.08.2020;796;8.07.2021;Mahreç İşareti;Halılar ve kilimler;Antalya;Döşemealtı Belediyesi;Tescilli
Düzce Acıkası;C2017/140;12.09.2017;309;28.12.2017;Mahreç İşareti;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Düzce Bıçağı;C2022/000351;20.10.2022;1590;16.05.2024;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Düzce Fındıklı Tahin Helvası;C2017/168;31.10.2017;1027;10.02.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Düzce Kestane Balı;C2017/229;11.12.2017;882;6.09.2021;Menşe Adı;Bal;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Düzce Kestane Kabağı;C2019/031;13.03.2019;580;27.10.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Düzce Kestanesi;C2019/200;2.12.2019;1268;1.12.2022;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Düzce Köftesi;C2017/139;12.09.2017;308;28.12.2017;Mahreç İşareti;Yemekler ve çorbalar;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Düzce Şeker Kamışı Pekmezi;C2019/167;6.11.2019;762;24.05.2021;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Düzce Şırası;C2017/169;31.10.2017;586;6.11.2020;Mahreç İşareti;Alkolsüz içecekler;Düzce;Düzce İl Tarım Ve Orman Müdürlüğü;Tescilli
Edincik Su Zeytinyağı;C2022/000026;21.01.2022;1595;3.06.2024;Menşe Adı;Tereyağı dâhil katı ve sıvı yağlar;Balıkesir;Bandırma Ticaret Odası;Tescilli
Edincik Zeytini;C2022/000025;21.01.2022;1556;7.03.2024;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir;Bandırma Ticaret Odası;Tescilli
Edirne Badem Ezmesi;C2013/003;24.12.2012;656;25.01.2021;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Edirne;Edirne Ticaret ve Sanayi Odası;Tescilli
Edirne Beyaz Peyniri;C2004/005;10.05.2004;93;23.10.2007;Menşe Adı;Peynirler;Edirne;Edirne Ticaret ve Sanayi Odası;Tescilli
Edirne Ciğer Sarma;C2021/000311;12.08.2021;1186;3.08.2022;Mahreç İşareti;Yemekler ve çorbalar;Edirne;Edirne Ticaret ve Sanayi Odası;Tescilli
Edirne Mis Meyve Sabunu;C2012/129;17.09.2012;452;9.09.2019;Mahreç İşareti;Diğer ürünler;Edirne;Edirne Ticaret ve Sanayi Odası;Tescilli
Edirne Tava Ciğeri;C2006/010;18.05.2006;128;25.02.2010;Mahreç İşareti;Yemekler ve çorbalar;Edirne;Edirne Esnaf ve Sanatkârları Odaları Birliği;Tescilli
Edremit Körfezi Yeşil Çizik Zeytini;C2014/047;18.07.2014;189;31.07.2015;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Balıkesir;Edremit Ticaret Odası;Tescilli
Edremit Zeytinyağı;C2017/048;22.05.2017;273;13.12.2017;Menşe Adı;Tereyağı dâhil katı ve sıvı yağlar;Balıkesir;Edremit Ticaret Odası;Tescilli
Eflani Hindi Bandırması;C2017/135;12.09.2017;304;22.12.2017;Menşe Adı;Yemekler ve çorbalar;Karabük;Eflani Belediyesi;Tescilli
Eflani Çember Bezi;C2008/023;15.04.2008;191;3.11.2015;Mahreç İşareti;Dokumalar;Karabük;Eflani Sosyal Yardımlaşma ve Dayanışma Vakfı;Tescilli
Ege Pamuğu;C2003/001;6.02.2003;67;30.05.2005;Menşe Adı;Diğer ürünler;İzmir;İzmir Ticaret Borsası;Tescilli
Ege Sultani Üzümü;C2003/003;6.02.2003;61;29.11.2004;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir;İzmir Ticaret Borsası;Tescilli
Ege İnciri;C2003/002;6.02.2003;80;12.06.2006;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;İzmir;İzmir Ticaret Borsası;Tescilli
Elazığ Boğazkere Üzümü;C2017/175;2.11.2017;416;11.02.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Elazığ;Fırat Kalkınma Ajansı;Tescilli
Elazığ Geven Balı;C2021/000070;15.02.2021;1226;21.09.2022;Menşe Adı;Bal;Elazığ;Elazığ İli Arı Yetiştiricileri Birliği;Tescilli
Elazığ Menceki Buğdayı;C2021/000090;2.03.2021;888;16.09.2021;Menşe Adı;Diğer ürünler;Elazığ;Elazığ İl Tarım ve Orman Müdürlüğü, Elazığ Ticaret ve Sanayi Odası, SS Elazığ Pancar Ekici. Kooperatifi;Tescilli
Elazığ Orciği;C2016/100;27.10.2016;398;30.11.2018;Menşe Adı;Çikolata, şekerleme ve türevi ürünler;Elazığ;Elazığ İl Tarım ve Orman Müdürlüğü, Fırat Kalkınma Ajansı, Fırat Üniversitesi, Elazığ Ticaret ve Sanayi Odası, Elazığ Üzüm Üreticileri Birliği;Tescilli
Elazığ Sırın Yemeği;C2022/000310;22.09.2022;1355;9.05.2023;Mahreç İşareti;Yemekler ve çorbalar;Elazığ;Elazığ Ticaret ve Sanayi Odası;Tescilli
Elazığ Tahannebi Üzümü;C2021/000195;18.04.2021;1493;3.11.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Elazığ;Elazığ İl Tarım ve Orman Müdürlüğü, Elazığ Ticaret ve Sanayi Odası;Tescilli
Elazığ Taş Ekmeği Tatlısı;C2022/000301;13.09.2022;1440;7.08.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Elazığ;Elazığ Ticaret ve Sanayi Odası;Tescilli
Elazığ Vişne Mermeri;C2017/228;8.12.2017;1515;27.12.2023;Mahreç İşareti;Diğer ürünler;Elazığ;Fırat Kalkınma Ajansı;Tescilli
Elazığ Vişnesi;C2020/072;9.03.2020;1273;8.12.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Elazığ;Elazığ İl Tarım ve Orman Müdürlüğü;Tescilli
Elazığ Çedene Kahvesi;C2021/000072;18.02.2021;1034;22.02.2022;Mahreç İşareti;Diğer ürünler;Elazığ;Elazığ İl Tarım ve Orman Müdürlüğü, Elazığ Ticaret ve Sanayi Odası;Tescilli
Elazığ Öküzgözü Üzümü;C2007/014;1.10.2007;108;6.03.2009;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Elazığ;Elazığ İl Tarım ve Orman Müdürlüğü;Tescilli
Elbistan Kelle Peyniri;C2023/000175;16.06.2023;1500;22.11.2023;Mahreç İşareti;Peynirler;Kahramanmaraş;Kahramanmaraş Büyükşehir Belediyesi;Tescilli
Eldivan Kirazı;C2021/000423;12.10.2021;1550;4.03.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Çankırı;Eldivan Belediyesi;Tescilli
Eldivan Yağlı Çöreği;C2021/000148;29.03.2021;914;5.10.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Çankırı;Eldivan Belediyesi;Tescilli
Elmadağ Tandır Ekmeği;C2022/000061;18.02.2022;1370;31.05.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Ankara;Elmadağ Belediyesi;Tescilli
Elpek Bezi;C2019/201;3.12.2019;1773;8.09.2025;Mahreç İşareti;Dokumalar;Zonguldak;Karadeniz Ereğli Ticaret ve Sanayi Odası;Tescilli
Emcelli Biberi;C2021/000197;20.04.2021;1337;14.02.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Manisa;Sarıgöl Kaymakamlığı;Tescilli
Emet Ekmeği;C2022/000331;3.10.2022;1425;26.07.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kütahya;Emet Belediyesi;Tescilli
Emet Kebabı;C2022/000204;27.06.2022;1303;26.12.2022;Mahreç İşareti;Yemekler ve çorbalar;Kütahya;Emet Belediyesi;Tescilli
Emet Pidesi;C2021/000471;12.11.2021;1137;7.06.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Kütahya;Emet Belediyesi;Tescilli
Emirdağ Dolgulu Köftesi;C2020/089;19.03.2020;769;26.05.2021;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Emirdağ Belediyesi;Tescilli
Emirdağ Güveci;C2020/093;27.03.2020;650;19.01.2021;Mahreç İşareti;Yemekler ve çorbalar;Afyonkarahisar;Emirdağ Belediyesi;Tescilli
Emirdağ Kilimi;C2020/096;20.04.2020;744;30.04.2021;Mahreç İşareti;Halılar ve kilimler;Afyonkarahisar;Emirdağ Belediyesi;Tescilli
Emirdağ Koyun Yoğurdu;C2020/097;20.04.2020;883;6.09.2021;Mahreç İşareti;Peynirler ve tereyağı dışında kalan süt ürünleri;Afyonkarahisar;Emirdağ Belediyesi;Tescilli
Emirdağ Yumurtalı Pidesi;C2020/087;16.03.2020;770;26.05.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Afyonkarahisar;Emirdağ Belediyesi;Tescilli
Emirgazi Halısı;C2023/000167;8.06.2023;1702;18.02.2025;Mahreç İşareti;Halılar ve kilimler;Konya;Emirgazi İlçe Tarım ve Orman Müdürlüğü;Tescilli
Erbaa Katmeri;C2022/000242;2.08.2022;1375;6.06.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Tokat;Erbaa Belediyesi;Tescilli
Erbaa Narince Bağ Yaprağı;C2016/052;23.06.2016;258;5.12.2017;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Tokat;Erbaa Ticaret ve Sanayi Odası;Tescilli
Erciş Lahanası;C2022/000114;30.03.2022;1658;5.11.2024;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van;Van Ticaret Borsası;Tescilli
Erciş Üzümü;C2020/063;28.02.2020;601;20.11.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Van;Van Ticaret Borsası;Tescilli
Erdek Kapıdağ Zeytinyağı;C2023/000359;29.12.2023;1733;6.05.2025;Mahreç İşareti;Tereyağı dâhil katı ve sıvı yağlar;Balıkesir;Erdek Ticaret Odası;Tescilli
Erdemli Lamas Limonu;C2018/133;25.06.2018;466;21.10.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin;Erdemli İlçe Tarım ve Orman Müdürlüğü;Tescilli
Erdemli Muzu;C2019/104;2.08.2019;633;18.12.2020;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Mersin;Erdemli İlçe Tarım ve Orman Müdürlüğü, Erdemli Ticaret ve Sanayi Odası;Tescilli
Ereğli Beyaz Kirazı;C2014/045;24.06.2014;406;3.01.2019;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya;Konya Ereğli Belediyesi;Tescilli
Ereğli Koyun Yoğurdu;C2017/148;28.09.2017;798;12.07.2021;Mahreç İşareti;Peynirler ve tereyağı dışında kalan süt ürünleri;Konya;Konya Ereğli Belediyesi;Tescilli
Ereğli Kuru Kayısı Yahnisi;C2024/000197;30.07.2024;1739;9.05.2025;Mahreç İşareti;Yemekler ve çorbalar;Konya;Ereğli İlçe Tarım ve Orman Müdürlüğü;Tescilli
Ereğli Siyah Havucu;C2014/046;24.06.2014;216;9.06.2017;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya;Konya Ereğli Belediyesi;Tescilli
Ereğli Uzun Kabağı;C2017/230;18.12.2017;657;26.01.2021;Menşe Adı;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Konya;Konya Ereğli Belediyesi;Tescilli
Erkilet Kedi Bacağı;C2017/160;19.10.2017;561;8.10.2020;Mahreç İşareti;Çikolata, şekerleme ve türevi ürünler;Kayseri;Kocasinan Belediyesi;Tescilli
Ermenek Batırması;C2022/000130;19.04.2022;1506;27.11.2023;Mahreç İşareti;Yemekler ve çorbalar;Karaman;Ermenek Belediyesi;Tescilli
Ermenek Helvası;C2021/000234;7.06.2021;1223;14.09.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Karaman;Ermenek Belediyesi;Tescilli
Erzincan Bakır İmalat Ve El İşlemeciliği Sanatı;C2001/009;25.06.2001;38;29.08.2002;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Erzincan;Erzincan Ticaret ve Sanayi Odası;Tescilli
Erzincan Kesme Kadayıfı;C2020/252;11.09.2020;760;21.05.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzincan;Erzincan İl Kültür ve Turizm Müdürlüğü;Tescilli
Erzincan Tulum Peyniri;C2000/004;21.08.2000;30;29.08.2001;Menşe Adı;Peynirler;Erzincan;Erzincan Ticaret ve Sanayi Odası;Tescilli
Erzincan Üzümlü Sarucu;C2022/000052;11.02.2022;1208;5.09.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzincan;Üzümlü Köylere Hizmet Götürme Birliği;Tescilli
Erzurum Pekmezli Baklavası;C2019/177;11.11.2019;654;20.01.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Ayran Aşı Çorbası;C2021/000135;23.03.2021;1074;13.04.2022;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Ayva Yahnisi / Erzurum Ayva Kalyesi;C2021/000467;8.11.2021;1339;16.02.2023;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Aşmalı Yahni;C2021/000138;24.03.2021;985;27.12.2021;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Aşotu;C2021/000132;23.03.2021;1220;12.09.2022;Menşe Adı;Yiyecekler için çeşni / lezzet vericiler, soslar ve tuz;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Babaanne Pastası / Erzurum Pastası;C2021/000183;12.04.2021;1642;1.10.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Burması / Erzurum Burma Bileziği;C2022/000465;26.12.2022;1681;25.12.2024;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Erzurum;Erzurum Ticaret ve Sanayi Odası;Tescilli
Erzurum Civil Peyniri;C2007/020;17.12.2007;116;11.09.2009;Mahreç İşareti;Peynirler;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Cılbıra / Erzurum Çılbır;C2021/000516;15.12.2021;1433;3.08.2023;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Demir Tatlısı;C2021/000126;22.03.2021;988;27.12.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Dut Çullaması;C2021/000163;6.04.2021;1036;23.02.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Ehram Dokuma Kumaşı;C2014/060;5.09.2014;364;6.07.2018;Mahreç İşareti;Dokumalar;Erzurum;Aziziye Belediyesi;Tescilli
Erzurum Ekşili Dolma;C2021/000566;31.12.2021;1246;27.10.2022;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Eriştesi;C2021/000554;30.12.2021;1258;18.11.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Et Kavurması;C2021/000129;23.03.2021;1163;5.07.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Gliko;C2021/000133;23.03.2021;1187;3.08.2022;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Hasıta / Erzurum Hasuta;C2021/000164;6.04.2021;1117;23.05.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Herle Aşı Çorbası;C2021/000546;29.12.2021;1434;3.08.2023;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Hink Yemeği;C2021/000547;29.12.2021;1435;3.08.2023;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Hurma Tatlısı;C2021/000519;15.12.2021;1340;2.03.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Kadayıf Dolması;C2010/008;1.03.2010;161;26.06.2012;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Kara Fatma Çorbası;C2021/000544;29.12.2021;1275;8.12.2022;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Kavut Haşılı;C2021/000176;9.04.2021;1338;16.02.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Kaz Lokması;C2021/000518;15.12.2021;1343;2.03.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Kesme Aşı Çorbası;C2021/000136;23.03.2021;1075;13.04.2022;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Ketesi;C2021/000172;9.04.2021;1318;20.01.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Kuru Kayısı Kaysefesi;C2021/000185;12.04.2021;1643;1.10.2024;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Küflü Civil Peyniri (Göğermiş Peynir);C2010/010;1.03.2010;164;30.11.2012;Mahreç İşareti;Peynirler;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Kıtlama Şekeri;C2019/179;11.11.2019;1125;25.05.2022;Mahreç İşareti;Diğer ürünler;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Lavaş Ekmeği / Erzurum Ecem Ekmeği / Erzurum Acem Ekmeği;C2021/000532;21.12.2021;1365;25.05.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Mantısı /Erzurum Hıngeli;C2020/446;24.12.2020;847;11.08.2021;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Pastırması;C2021/000131;23.03.2021;1311;10.01.2023;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Patates Boranisi;C2021/000182;12.04.2021;1641;1.10.2024;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Pekmezli Kadayıfı;C2021/000139;24.03.2021;1293;19.12.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Peynir Helvası;C2019/178;11.11.2019;806;16.07.2021;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Su Böreği;C2019/010;25.01.2019;514;28.07.2020;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Sucuğu;C2021/000128;23.03.2021;1092;25.04.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş et ürünleri;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Tatar Böreği;C2021/000533;22.12.2021;1367;26.05.2023;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Tel Helvası;C2021/000166;7.04.2021;1230;26.09.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Tereyağı;C2021/000134;23.03.2021;1244;23.10.2022;Mahreç İşareti;Tereyağı dâhil katı ve sıvı yağlar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Tuzlu Lokumu;C2021/000173;9.04.2021;1368;26.05.2023;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Un Helvası;C2024/000018;17.01.2024;1751;7.07.2025;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Yumurta Pilavı;C2021/000165;6.04.2021;1037;23.02.2022;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Çaşır Kavurması;C2021/000536;24.12.2021;1372;6.06.2023;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Çaşır Salamurası;C2021/000520;15.12.2021;1213;8.09.2022;Mahreç İşareti;İşlenmiş ve işlenmemiş meyve ve sebzeler ile mantarlar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Çeç Pancarı;C2021/000549;29.12.2021;1304;26.12.2022;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Çiriş Yemeği;C2021/000517;15.12.2021;1194;18.08.2022;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Çortutu Pancarı;C2021/000137;24.03.2021;987;27.12.2021;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Erzurum Şalgam Dolması;C2021/000480;19.11.2021;1185;2.08.2022;Mahreç İşareti;Yemekler ve çorbalar;Erzurum;Erzurum Ticaret Borsası;Tescilli
Eskipazar Sarı Traverten Taşı;C2024/000164;24.05.2024;1707;4.03.2025;Menşe Adı;Diğer ürünler;Karabük;Karabük Ticaret ve Sanayi Odası;Tescilli
Eskişehir Lüle Taşı;C1997/002;27.10.1997;26;23.12.1999;Menşe Adı;Diğer ürünler;Eskişehir;Eskişehir Sanayi Odası;Tescilli
Eskişehir Met Helvası;C2010/026;12.05.2010;250;30.11.2017;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Eskişehir;Eskişehir Ticaret Odası;Tescilli
Eskişehir Simidi;C2019/214;23.12.2019;1058;4.04.2022;Mahreç İşareti;Fırıncılık ve pastacılık mamulleri, hamur işleri, tatlılar;Eskişehir;Eskişehir Ticaret Odası;Tescilli
Eskişehir Çiğböreği (Çibörek);C2010/021;19.04.2010;163;26.11.2012;Mahreç İşareti;Yemekler ve çorbalar;Eskişehir;Eskişehir Ticaret Odası;Tescilli
Evrenye Bıçağı;C2020/062;28.02.2020;682;23.02.2021;Mahreç İşareti;Halılar, kilimler ve dokumalar dışında kalan el sanatı ürünleri;Kastamonu;İnebolu Ticaret ve Sanayi Odası;Tescilli
Ezine Peyniri;C2006/004;24.02.2006;86;10.04.2007;Menşe Adı;Peynirler;Çanakkale;Ezine Peynirini ve Mandıracılarını Koruma, Geliştirme ve Tanıtma Derneği;Tescilli
Ezo Gelin Çorbası;C2017/241;20.12.2017;G2;10.09.2020;Geleneksel Ürün Adı;Yemekler ve çorbalar;;Oğuzeli Belediyesi;Tescilli
